scen,from,to,lid,year,level,marginal,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j,order_from,order_to,islf,isrc,isosg
1,104095,104494,52,2051,283.6104552375102,0.0,104095,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104095,104781,53,2051,44.62678783989453,0.0,104095,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,42.891367039,-71.431977022,101,115.0,WATTS BROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104119,104127,54,2051,2511.286139806434,0.0,104119,42.949840692,-70.8688262959999,101,345.0,TIMBER SWAMP,6,0,0.0,0,0,ISONE,42.89917,-70.8489,101,345.0,SEABROOK,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,104127,114063,56,2051,1798.040947265782,0.0,104127,42.89917,-70.8489,101,345.0,SEABROOK,6,0,0.0,0,1,ISONE,42.832949593,-70.9724234059999,101,345.0,W AMESBURY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,104151,57,2051,2826.6976977342465,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.791563914,-71.3768380679999,101,345.0,LAWRENCE RD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,104162,58,2041,140.51837789931193,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,104162,58,2046,398.6809969138615,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,104162,58,2051,2788.6652774916524,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,113951,61,2051,986.8672266181525,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.622784672,-71.2423157249999,101,345.0,TEWKSBURY,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104143,113986,63,2051,26.52561437384256,0.0,104143,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,42.568438524,-71.5303919819999,101,115.0,SANDY POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
